store_id,city,campaign_id,total_revenue,total_units_sold,baseline_revenue,incremental_revenue,city_rank,prev_store_revenue,prev_store_units,revenue_growth,unit_growth
STBLR-0,Bengaluru,CAMP_DIW_01,32237590,33313,14403270,17834320,1,NULL,NULL,NULL,NULL
STBLR-7,Bengaluru,CAMP_DIW_01,30296868,34251,13796566,16500302,2,32237590,33313,-0.0602,0.0282
STBLR-6,Bengaluru,CAMP_DIW_01,29324113,33999,13615714,15708399,3,30296868,34251,-0.0321,-0.0074
STBLR-3,Bengaluru,CAMP_DIW_01,29218427,30611,14618107,14600320,4,29324113,33999,-0.0036,-0.0996
STBLR-8,Bengaluru,CAMP_DIW_01,28536963,30765,14734174,13802789,5,29218427,30611,-0.0233,0.0050
STBLR-4,Bengaluru,CAMP_DIW_01,27247164,30856,13780739,13466425,6,28536963,30765,-0.0452,0.0030
STBLR-5,Bengaluru,CAMP_DIW_01,24474499,29351,13121675,11352824,7,27247164,30856,-0.1018,-0.0488
STBLR-9,Bengaluru,CAMP_DIW_01,24045896,29302,12582080,11463816,8,24474499,29351,-0.0175,-0.0017
STBLR-1,Bengaluru,CAMP_DIW_01,23029433,29022,13037584,9991849,9,24045896,29302,-0.0423,-0.0096
STBLR-2,Bengaluru,CAMP_DIW_01,21630707,29183,12177410,9453297,10,23029433,29022,-0.0607,0.0055
STCHE-4,Chennai,CAMP_DIW_01,33226655,35091,15027075,18199580,1,NULL,NULL,NULL,NULL
STCHE-7,Chennai,CAMP_DIW_01,29911805,33453,13457178,16454627,2,33226655,35091,-0.0998,-0.0467
STCHE-3,Chennai,CAMP_DIW_01,28597394,32235,13394878,15202516,3,29911805,33453,-0.0439,-0.0364
STCHE-6,Chennai,CAMP_DIW_01,28476966,31115,14909930,13567036,4,28597394,32235,-0.0042,-0.0347
STCHE-5,Chennai,CAMP_DIW_01,25520313,28364,13151747,12368566,5,28476966,31115,-0.1038,-0.0884
STCHE-2,Chennai,CAMP_DIW_01,24169789,28651,13275766,10894023,6,25520313,28364,-0.0529,0.0101
STCHE-0,Chennai,CAMP_DIW_01,23565269,28700,12124406,11440863,7,24169789,28651,-0.0250,0.0017
STCHE-1,Chennai,CAMP_DIW_01,19721856,25165,11864111,7857745,8,23565269,28700,-0.1631,-0.1232
STCHE-4,Chennai,CAMP_SAN_01,16425703,45738,9870945,6554758,9,19721856,25165,-0.1671,0.8175
STCHE-7,Chennai,CAMP_SAN_01,16262799,47369,9348367,6914432,10,16425703,45738,-0.0099,0.0357
STCBE-1,Coimbatore,CAMP_DIW_01,21024514,20594,10588088,10436426,1,NULL,NULL,NULL,NULL
