product_code,product_name,category,promo_type,quantity_increase
P04,"Atliq_Farm_Chakki_Atta (1KG)","Grocery & Staples",BOGOF,354655
P03,"Atliq_Suflower_Oil (1L)","Grocery & Staples",BOGOF,314496
P15,Atliq_Home_Essential_8_Product_Combo,Combo1,"500 Cashback",286167
P13,Atliq_High_Glo_15W_LED_Bulb,"Home Appliances",BOGOF,151781
P14,Atliq_waterproof_Immersion_Rod,"Home Appliances",BOGOF,120519
P02,"Atliq_Sonamasuri_Rice (10KG)","Grocery & Staples","33% OFF",111678
P07,Atliq_Curtains,"Home Care",BOGOF,82075
P01,"Atliq_Masoor_Dal (1KG)","Grocery & Staples","33% OFF",79107
P08,Atliq_Double_Bedsheet_set,"Home Care",BOGOF,75985
P12,"Atliq_Lime_Cool_Bathing_Bar (125GM)","Personal Care","50% OFF",17934
P11,"Atliq_Doodh_Kesar_Body_Lotion (200ML)","Personal Care","50% OFF",12355
P10,"Atliq_Cream_Beauty_Bathing_Soap (125GM)","Personal Care","50% OFF",11046
P09,"Atliq_Body_Milk_Nourishing_Lotion (120ML)","Personal Care","50% OFF",7182
